customer_id,facility_id,unit_id,unit_name,temperature,temperature_unit,timestamp,sensor_id,set_temperature,size,size_unit,city,country,quality_score
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-1.35,C,2025-06-17T23:39:31.592529,sensor_1_1,-1.5,463,sqm,,England,0.7590505199830573
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-1.21,C,2025-06-17T23:51:48.592529,sensor_1_4,-1.5,463,sqm,,England,0.760918017241714
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-1.11,C,2025-06-18T00:04:05.592529,sensor_unknown_135,-1.5,463,sqm,,England,0.7562719779977826
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.97,C,2025-06-18T00:16:22.592529,sensor_1_3,-1.5,463,sqm,,England,0.7668911205979978
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.85,C,2025-06-18T00:28:39.592529,sensor_1_1,-1.5,463,sqm,,England,0.7578728457115166
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.86,C,2025-06-18T00:40:56.592529,sensor_1_4,-1.5,463,sqm,,England,0.7408726660754678
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.93,C,2025-06-18T00:53:13.592529,sensor_1_1,-1.5,463,sqm,,England,0.7559856246846495
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.76,C,2025-06-18T01:05:30.592529,sensor_1_2,-1.5,463,sqm,,England,0.7411977372500456
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.78,C,2025-06-18T01:17:47.592529,sensor_1_4,-1.5,463,sqm,,England,0.7393703838058047
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.78,C,2025-06-18T01:30:04.592529,sensor_1_1,-1.5,463,sqm,,England,0.75037804975786
SMALL,facility_SMALL_1,unit_SMALL_1_1,,,C,2025-06-18T01:42:21.592529,sensor_1_1,-1.5,463,sqm,,England,0.0
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.78,C,2025-06-18T01:54:38.592529,sensor_unknown_856,-1.5,463,sqm,,England,0.7644924619671828
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.77,C,2025-06-18T02:06:55.592529,sensor_1_1,-1.5,463,sqm,,England,0.7307061582631627
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.76,C,2025-06-18T02:19:12.592529,sensor_1_2,-1.5,463,sqm,,England,0.766185200880736
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.89,C,2025-06-18T02:31:29.592529,sensor_1_2,-1.5,463,sqm,,England,0.7498396793718592
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.91,C,2025-06-18T02:43:46.592529,sensor_1_1,-1.5,463,sqm,,England,0.7448265671230481
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.73,C,2025-06-18T02:56:03.592529,sensor_1_4,-1.5,463,sqm,,England,0.7562168830863579
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.71,C,2025-06-18T03:08:20.592529,sensor_1_1,-1.5,463,sqm,,England,0.7562611351159928
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.68,C,2025-06-18T03:20:37.592529,sensor_1_2,-1.5,463,sqm,,England,0.7434960678778945
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.7,C,2025-06-18T03:32:54.592529,sensor_1_2,-1.5,463,sqm,,England,0.7556143887587164
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.79,C,2025-06-18T03:45:11.592529,sensor_1_1,-1.5,463,sqm,,England,0.7458209998343716
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.71,C,2025-06-18T03:57:28.592529,sensor_1_2,-1.5,463,sqm,,England,0.7466138671819482
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.67,C,2025-06-18T04:09:45.592529,sensor_1_4,-1.5,463,sqm,,England,0.7493615796198543
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.56,C,2025-06-18T04:22:02.592529,sensor_1_4,-1.5,463,sqm,,England,0.7400735875521101
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.6,C,2025-06-18T04:34:19.592529,sensor_1_1,-1.5,463,sqm,,England,0.7551375307477148
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.72,C,2025-06-18T04:46:36.592529,sensor_1_4,-1.5,463,sqm,,England,0.7533697259058058
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.71,C,2025-06-18T04:58:53.592529,sensor_1_1,-1.5,463,sqm,,England,0.7679627732502998
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.76,C,2025-06-18T05:11:10.592529,sensor_1_2,-1.5,463,sqm,,England,0.7336149183446038
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.7,C,2025-06-18T05:23:27.592529,sensor_1_1,-1.5,463,sqm,,England,0.7314112828694131
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.65,C,2025-06-18T05:35:44.592529,sensor_1_3,-1.5,463,sqm,,England,0.7534686226465551
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.6,C,2025-06-18T05:48:01.592529,sensor_1_2,-1.5,463,sqm,,England,0.7350341385567329
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.55,C,2025-06-18T06:00:18.592529,sensor_1_3,-1.5,463,sqm,,England,0.7464075677933276
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.6,C,2025-06-18T06:12:35.592529,sensor_1_1,-1.5,463,sqm,,England,0.7371546839211687
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.59,C,2025-06-18T06:24:52.592529,sensor_1_2,-1.5,463,sqm,,England,0.7421809893071912
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.39,C,2025-06-18T06:37:09.592529,sensor_1_1,-1.5,463,sqm,,England,0.769637792401499
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.39,C,2025-06-18T06:49:26.592529,sensor_1_3,-1.5,463,sqm,,England,0.7370338310145337
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.36,C,2025-06-18T07:01:43.592529,sensor_1_3,-1.5,463,sqm,,England,0.7354374026654698
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.34,C,2025-06-18T07:14:00.592529,sensor_1_1,-1.5,463,sqm,,England,0.7615652287727974
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.25,C,2025-06-18T07:26:17.592529,sensor_1_3,-1.5,463,sqm,,England,0.7662661684356824
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.3,C,2025-06-18T07:38:34.592529,sensor_1_3,-1.5,463,sqm,,England,0.7385184743507662
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.16,C,2025-06-18T07:50:51.592529,sensor_1_4,-1.5,463,sqm,,England,0.7517258676594154
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.17,C,2025-06-18T08:03:08.592529,sensor_1_1,-1.5,463,sqm,,England,0.7366998370829875
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.29,C,2025-06-18T08:15:25.592529,sensor_1_1,-1.5,463,sqm,,England,0.7391363499851454
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.36,C,2025-06-18T08:27:42.592529,sensor_1_1,-1.5,463,sqm,,England,0.7302897146854186
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.29,C,2025-06-18T08:39:59.592529,sensor_unknown_689,-1.5,463,sqm,,England,0.7433805927203235
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.3,C,2025-06-18T08:52:16.592529,sensor_1_3,-1.5,463,sqm,,England,0.7560098041261555
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.56,C,2025-06-18T09:04:33.592529,sensor_1_4,-1.5,463,sqm,,England,0.7451854603478003
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.7,C,2025-06-18T09:16:50.592529,sensor_1_4,-1.5,463,sqm,,England,0.7345084799341506
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.64,C,2025-06-18T09:29:07.592529,sensor_1_4,-1.5,463,sqm,,England,0.7462974353228227
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.68,C,2025-06-18T09:41:24.592529,sensor_1_3,-1.5,463,sqm,,England,0.7537178456854658
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.55,C,2025-06-18T09:53:41.592529,sensor_1_3,-1.5,463,sqm,,England,0.7401114044237097
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.66,C,2025-06-18T10:05:58.592529,sensor_1_3,-1.5,463,sqm,,England,0.74042403833911
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.69,C,2025-06-18T10:18:15.592529,sensor_1_2,-1.5,463,sqm,,England,0.7418466723193187
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.72,C,2025-06-18T10:30:32.592529,sensor_1_4,-1.5,463,sqm,,England,0.7391747708284601
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.84,C,2025-06-18T10:42:49.592529,sensor_1_3,-1.5,463,sqm,,England,0.7475355094999321
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.84,C,2025-06-18T10:55:06.592529,sensor_1_4,-1.5,463,sqm,,England,0.7481725662652257
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.88,C,2025-06-18T11:07:23.592529,sensor_1_4,-1.5,463,sqm,,England,0.7471405917973956
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.81,C,2025-06-18T11:19:40.592529,sensor_unknown_115,-1.5,463,sqm,,England,0.7530411404763184
SMALL,facility_SMALL_1,unit_SMALL_1_1,,-0.87,C,2025-06-18T11:31:57.592529,sensor_1_4,-1.5,463,sqm,,England,0.7538955127462155
