customer_id,facility_id,unit_id,temperature,timestamp,sensor_id,set_temperature,size,size_unit,city,country,quality_score,storage_room,degrees
H,facility_H_1,unit_H_1_1,-6.89,2025-05-24 11:39:29,sensor_freezer_unit_1_4,-7.2,3245,sqft,Manchester,England,0.8506366791591732,Freezer Unit 1,F
H,facility_H_1,unit_H_1_2,-1.31,2025-05-24 11:39:29,sensor_freezer_unit_2_4,-1.4,5096,sqft,Manchester,England,0.863343356626069,Freezer Unit 2,F
H,facility_H_1,unit_H_1_3,1.5,2025-05-24 11:39:29,sensor_freezer_unit_3_2,1.5,8328,sqft,Manchester,England,0.8592394104149182,Freezer Unit 3,F
H,facility_H_1,unit_H_1_4,-4.39,2025-05-24 11:39:29,sensor_freezer_unit_4_2,-4.5,2236,sqft,Manchester,England,0.845273687418427,Freezer Unit 4,F
H,facility_H_2,unit_H_2_1,-7.27,2025-05-24 11:39:29,sensor_freezer_unit_1_1,-7.5,8002,sqft,Birmingham,England,0.8659521802111638,Freezer Unit 1,F
H,facility_H_1,unit_H_1_2,-1.22,2025-05-24 11:45:58,sensor_freezer_unit_2_2,-1.4,5096,sqft,Manchester,England,0.852482331712978,Freezer Unit 2,F
H,facility_H_1,unit_H_1_4,-4.35,2025-05-24 11:48:44,sensor_freezer_unit_4_4,-4.5,2236,sqft,Manchester,England,0.8350808166452042,Freezer Unit 4,F
H,facility_H_2,unit_H_2_1,-7.08,2025-05-24 11:49:27,sensor_freezer_unit_1_4,-7.5,8002,sqft,Birmingham,England,0.833503034280084,Freezer Unit 1,F
H,facility_H_1,unit_H_1_1,-6.59,2025-05-24 11:50:36,sensor_freezer_unit_1_2,-7.2,3245,sqft,Manchester,England,0.8584241997998325,Freezer Unit 1,F
H,facility_H_1,unit_H_1_3,1.58,2025-05-24 11:52:19,sensor_freezer_unit_3_3,1.5,8328,sqft,Manchester,England,0.8371884489588377,Freezer Unit 3,F
H,facility_H_1,unit_H_1_2,-1.14,2025-05-24 11:52:27,sensor_freezer_unit_2_3,-1.4,5096,sqft,Manchester,England,0.83635075351296,Freezer Unit 2,F
H,facility_H_1,unit_H_1_4,-4.24,2025-05-24 11:57:59,sensor_freezer_unit_4_1,-4.5,2236,sqft,Manchester,England,0.8473837897443472,Freezer Unit 4,F
H,facility_H_1,unit_H_1_2,-1.19,2025-05-24 11:58:56,sensor_freezer_unit_2_3,-1.4,5096,sqft,Manchester,England,0.8429122794265825,Freezer Unit 2,F
H,facility_H_2,unit_H_2_1,-6.91,2025-05-24 11:59:25,sensor_freezer_unit_1_2,-7.5,8002,sqft,Birmingham,England,0.8387403377695059,Freezer Unit 1,F
H,facility_H_1,unit_H_1_1,-6.62,2025-05-24 12:01:43,sensor_freezer_unit_1_1,-7.2,3245,sqft,Manchester,England,0.8495024531001597,Freezer Unit 1,F
H,facility_H_1,unit_H_1_3,1.72,2025-05-24 12:05:09,sensor_unknown_799,1.5,8328,sqft,Manchester,England,0.8567196512348928,Freezer Unit 3,F
H,facility_H_1,unit_H_1_2,-1.07,2025-05-24 12:05:25,sensor_freezer_unit_2_3,-1.4,5096,sqft,Manchester,England,0.8544058883027165,Freezer Unit 2,F
H,facility_H_1,unit_H_1_4,-4.23,2025-05-24 12:07:14,sensor_freezer_unit_4_2,-4.5,2236,sqft,Manchester,England,0.8322529728251772,Freezer Unit 4,F
H,facility_H_2,unit_H_2_1,-6.78,2025-05-24 12:09:23,sensor_freezer_unit_1_1,-7.5,8002,sqft,Birmingham,England,0.8609215234941215,Freezer Unit 1,F
H,facility_H_1,unit_H_1_2,-0.89,2025-05-24 12:11:54,sensor_freezer_unit_2_2,-1.4,5096,sqft,Manchester,England,0.8464732785200024,Freezer Unit 2,F
H,facility_H_1,unit_H_1_1,-6.54,2025-05-24 12:12:50,sensor_freezer_unit_1_2,-7.2,3245,sqft,Manchester,England,0.833232733692671,Freezer Unit 1,F
H,facility_H_1,unit_H_1_4,-4.05,2025-05-24 12:16:29,sensor_freezer_unit_4_2,-4.5,2236,sqft,Manchester,England,0.8428649692050008,Freezer Unit 4,F
