customer_id,facility_id,unit_id,temperature,timestamp,sensor_id,set_temperature,size,size_unit,city,country,quality_score,storage_room,degrees
J,facility_J_1,unit_J_1_1,-19.33,2025-04-06 11:39:29,sensor_1_4,-19.6,595,sqm,Leeds,England,0.7411562741898772,,C
J,facility_J_1,unit_J_1_2,-10.86,2025-04-06 11:39:29,sensor_2_2,-11.0,761,sqm,Leeds,England,0.7407190895159903,,C
J,facility_J_1,unit_J_1_1,-19.22,2025-04-06 12:09:04,sensor_1_4,-19.6,595,sqm,Leeds,England,0.7686893186186143,,C
J,facility_J_1,unit_J_1_2,-10.77,2025-04-06 12:09:25,sensor_2_3,-11.0,761,sqm,Leeds,England,0.7330759195276383,,C
J,facility_J_1,unit_J_1_1,-19.14,2025-04-06 12:38:39,sensor_1_3,-19.6,595,sqm,Leeds,England,0.7398051585208071,,C
J,facility_J_1,unit_J_1_2,-10.68,2025-04-06 12:39:21,sensor_2_1,-11.0,761,sqm,Leeds,England,0.7354888795517063,,C
J,facility_J_1,unit_J_1_1,-18.92,2025-04-06 13:08:14,sensor_1_4,-19.6,595,sqm,Leeds,England,0.7348413108045351,,C
J,facility_J_1,unit_J_1_2,-10.51,2025-04-06 13:09:17,sensor_2_3,-11.0,761,sqm,Leeds,England,0.7301674027516429,,C
J,facility_J_1,unit_J_1_1,-18.93,2025-04-06 13:37:49,sensor_1_1,-19.6,595,sqm,Leeds,England,0.7448146688404027,,C
J,facility_J_1,unit_J_1_2,-10.37,2025-04-06 13:39:13,sensor_2_2,-11.0,761,sqm,Leeds,England,0.7612933302137171,,C
J,facility_J_1,unit_J_1_1,-18.92,2025-04-06 14:07:24,sensor_1_4,-19.6,595,sqm,Leeds,England,0.7538065988487241,,C
J,facility_J_1,unit_J_1_2,-10.33,2025-04-06 14:09:09,sensor_2_2,-11.0,761,sqm,Leeds,England,0.7678571700459402,,C
J,facility_J_1,unit_J_1_1,-18.89,2025-04-06 14:36:59,sensor_1_1,-19.6,595,sqm,Leeds,England,0.7645484304992355,,C
J,facility_J_1,unit_J_1_2,-10.23,2025-04-06 14:39:05,sensor_2_2,-11.0,761,sqm,Leeds,England,0.7520723092582835,,C
J,facility_J_1,unit_J_1_1,-18.87,2025-04-06 15:06:34,sensor_1_1,-19.6,595,sqm,Leeds,England,0.7569127406343078,,C
J,facility_J_1,unit_J_1_2,-10.11,2025-04-06 15:09:01,sensor_2_1,-11.0,761,sqm,Leeds,England,0.7339348941799126,,C
J,facility_J_1,unit_J_1_1,-18.68,2025-04-06 15:36:09,sensor_1_4,-19.6,595,sqm,Leeds,England,0.7308973894992038,,C
J,facility_J_1,unit_J_1_2,-10.11,2025-04-06 15:38:57,sensor_2_1,-11.0,761,sqm,Leeds,England,0.7425398171397963,,C
J,facility_J_1,unit_J_1_1,-18.49,2025-04-06 16:05:44,sensor_1_1,-19.6,595,sqm,Leeds,England,0.7681193613727587,,C
J,facility_J_1,unit_J_1_2,-10.12,2025-04-06 16:08:53,sensor_2_1,-11.0,761,sqm,Leeds,England,0.7329120428730792,,C
J,facility_J_1,unit_J_1_1,-18.35,2025-04-06 16:35:19,sensor_1_2,-19.6,595,sqm,Leeds,England,0.7449560302159102,,C
J,facility_J_1,unit_J_1_2,-9.99,2025-04-06 16:38:49,sensor_2_3,-11.0,761,sqm,Leeds,England,0.7338104734888011,,C
J,facility_J_1,unit_J_1_1,-18.4,2025-04-06 17:04:54,sensor_1_1,-19.6,595,sqm,Leeds,England,0.7581097738941124,,C
J,facility_J_1,unit_J_1_2,-10.06,2025-04-06 17:08:45,sensor_2_2,-11.0,761,sqm,Leeds,England,0.7411455673040531,,C
J,facility_J_1,unit_J_1_1,-18.4,2025-04-06 17:34:29,sensor_1_2,-19.6,595,sqm,Leeds,England,0.750879733116562,,C
J,facility_J_1,unit_J_1_2,-9.98,2025-04-06 17:38:41,sensor_unknown_311,-11.0,761,sqm,Leeds,England,0.7489013603856016,,C
J,facility_J_1,unit_J_1_1,-18.52,2025-04-06 18:04:04,sensor_1_3,-19.6,595,sqm,Leeds,England,0.7551423914878845,,C
J,facility_J_1,unit_J_1_2,-9.86,2025-04-06 18:08:37,sensor_2_3,-11.0,761,sqm,Leeds,England,0.7426544744516723,,C
J,facility_J_1,unit_J_1_1,-18.51,2025-04-06 18:33:39,sensor_1_2,-19.6,595,sqm,Leeds,England,0.7404569532417595,,C
